condition,sex,subject,leg,fibre_area,circularity
Condition A,M,11,Right,1632.026,0.824110396
Condition A,M,11,Right,950.752,0.785643361
Condition A,M,11,Right,1273.891,0.691898428
Condition A,M,11,Right,510.178,0.706995777
Condition A,M,11,Right,1908.114,0.85974257
Condition A,M,11,Right,654.833,0.927528452
Condition A,M,11,Right,2065.989,0.800204858
Condition A,M,11,Right,1567.865,0.74050598
Condition A,M,11,Right,819.707,0.625859515
Condition A,M,11,Right,1058.465,0.644029295
Condition A,M,11,Right,1607.528,0.731296614
Condition A,M,11,Right,1332.608,0.643079461
Condition A,M,11,Right,2659.771,0.905233306
Condition A,M,11,Right,1362.55,0.861739911
Condition A,M,11,Right,1304.61,0.801296264
Condition A,M,11,Right,821.652,0.763353221
Condition A,M,11,Right,866.759,0.760252594
Condition A,M,11,Right,920.032,0.931834471
Condition A,M,11,Right,1396.769,0.683445497
Condition A,M,11,Right,1804.289,0.758697962
Condition A,M,11,Right,3076.624,0.745000242
Condition A,M,11,Right,2052.768,0.803035787
Condition A,M,11,Right,1639.026,0.738640605
Condition A,M,11,Right,933.253,0.775453436
Condition A,M,11,Right,1425.544,0.780288051
Condition A,M,11,Right,1114.071,0.840374303
Condition A,M,11,Right,638.89,0.777849498
Condition A,M,11,Right,831.373,0.749286035
Condition A,M,11,Right,1544.923,0.866550255
Condition A,M,11,Right,1846.675,0.846106245
Condition A,M,11,Right,948.03,0.886196579
Condition A,M,11,Right,1344.662,0.828384816
Condition A,M,11,Right,1256.392,0.885623407
Condition A,M,11,Right,1553.866,0.850335763
Condition A,M,11,Right,2078.432,0.849679399
Condition A,M,11,Right,1636.304,0.763905699
Condition A,M,11,Right,1378.881,0.903453548
Condition A,M,11,Right,1518.092,0.738829917
Condition A,M,11,Right,2011.549,0.815522369
Condition A,M,11,Right,1710.575,0.944288302
Condition A,M,11,Right,797.931,0.791199853
Condition A,M,11,Right,950.752,0.763090632
Condition A,M,11,Right,962.417,0.764453321
Condition A,M,11,Right,2303.58,0.789865477
Condition A,M,11,Right,841.872,0.684513596
Condition A,M,11,Right,1730.018,0.832287928
Condition A,M,11,Right,1060.798,0.751449073
Condition A,M,11,Right,526.51,0.776992355
Condition A,M,11,Right,1247.059,0.752556924
Condition A,M,11,Right,608.948,0.633851311
Condition A,F,38,Left,2211.032,0.829830865
Condition A,F,38,Left,1578.753,0.898287127
Condition A,F,38,Left,921.199,0.902508048
Condition A,F,38,Left,1771.237,0.849414233
Condition A,F,38,Left,1701.243,0.913159167
Condition A,F,38,Left,1864.562,0.817129104
Condition A,F,38,Left,1881.283,0.906988933
Condition A,F,38,Left,1595.474,0.934292123
Condition A,F,38,Left,1682.189,0.94451456
Condition A,F,38,Left,1577.198,0.853255592
Condition A,F,38,Left,582.894,0.838884924
Condition A,F,38,Left,1664.301,0.886226468
Condition A,F,38,Left,1283.223,0.835556638
Condition A,F,38,Left,1704.354,0.93794246
Condition A,F,38,Left,1670.134,0.853527426
Condition A,F,38,Left,1102.405,0.893500673
Condition A,F,38,Left,1862.618,0.87155629
Condition A,F,38,Left,580.95,0.92280994
Condition A,F,38,Left,1165.011,0.877656977
Condition A,F,38,Left,407.521,0.954116407
Condition A,F,38,Left,858.204,0.826730798
Condition A,F,38,Left,748.158,0.883763631
Condition A,F,38,Left,1977.33,0.932387483
Condition A,F,38,Left,1244.726,0.737451277
Condition A,F,38,Left,1418.934,0.872734368
Condition A,F,38,Left,1760.738,0.895542439
Condition A,F,38,Left,731.048,0.966824284
Condition A,F,38,Left,1072.852,0.813246413
Condition A,F,38,Left,1299.944,0.942640189
Condition A,F,38,Left,1664.69,0.842045062
Condition A,F,38,Left,1451.209,0.923489991
Condition A,F,38,Left,813.486,0.844631002
Condition A,F,38,Left,770.712,0.913804618
Condition A,F,38,Left,486.069,0.899799969
Condition A,F,38,Left,1044.466,0.839326463
Condition A,F,38,Left,989.637,0.838231815
Condition A,F,38,Left,1073.241,0.93560039800000006
Condition A,F,38,Left,676.22,0.908066794
Condition A,F,38,Left,445.24,0.860870774
Condition A,F,38,Left,706.939,0.810482621
Condition A,F,38,Left,2270.138,0.840619254
Condition A,F,38,Left,922.754,0.799185784
Condition A,F,38,Left,721.327,0.789324764
Condition A,F,38,Left,1459.375,0.924366267
Condition A,F,38,Left,714.327,0.916200336
Condition A,F,38,Left,1669.745,0.804256529
Condition A,F,38,Left,608.559,0.7699883
Condition A,F,38,Left,665.332,0.851774902
Condition A,F,38,Left,1180.176,0.885498896
Condition A,F,38,Left,781.211,0.868872548
Condition A,F,38,Left,703.44,0.883465568
Condition A,F,38,Left,593.005,0.944548133
Condition A,F,38,Left,675.053,0.884836611
Condition A,F,38,Left,998.97,0.896746903
Condition A,F,38,Left,626.057,0.922078405
Condition A,F,38,Left,1073.63,0.848090988
Condition A,F,38,Left,1574.476,0.899881905
Condition A,F,38,Left,743.103,0.878507734
Condition A,F,38,Left,1354.772,0.791350424
Condition A,F,38,Left,943.752,0.91027286
Condition A,F,38,Left,452.239,0.882441266
Condition A,F,38,Left,1329.886,0.931266884
Condition A,F,38,Left,349.581,0.783265166
Condition A,F,38,Left,761.379,0.839344291
Condition A,F,38,Left,378.356,0.948727712
Condition A,F,38,Left,1539.868,0.922723213
Condition A,F,38,Left,1896.059,0.898606154
Condition A,F,38,Left,714.327,0.862733668
Condition A,F,38,Left,1228.394,0.872934544
Condition A,F,38,Left,1695.799,0.856584789
Condition A,F,38,Left,2124.706,0.922268801
Condition A,F,38,Left,1745.183,0.78442224
Condition A,F,38,Left,913.033,0.852055903
Condition A,F,38,Left,1663.524,0.948153186
Condition A,F,38,Left,753.991,0.883939212
Condition A,F,38,Left,1484.261,0.92376598
Condition A,F,38,Left,622.169,0.85572658
Condition A,F,38,Left,931.309,0.853506309
Condition A,F,38,Left,1963.72,0.83404489
Condition A,F,38,Left,1456.653,0.775150953
Condition A,F,38,Left,1268.835,0.849545085
Condition A,F,38,Left,1299.166,0.83588328
Condition A,F,38,Left,976.416,0.842804599
Condition A,F,38,Left,1634.36,0.845414833
Condition A,F,38,Left,1484.261,0.817307288
Condition A,F,38,Left,832.54,0.789255488
Condition A,F,38,Left,320.028,0.82108385
Condition A,F,38,Left,483.736,0.794869384
Condition A,F,38,Left,802.209,0.869728902
Condition A,F,38,Left,494.235,0.896456087
Condition A,F,38,Left,1415.434,0.767937471
Condition A,F,38,Left,1496.705,0.844756579
Condition A,F,38,Left,1764.237,0.910422818
Condition A,F,38,Left,598.837,0.966461429
Condition A,F,38,Left,788.21,0.816011969
Condition A,F,38,Left,1395.991,0.908343388
Condition A,F,38,Left,1275.835,0.80535394
Condition A,F,38,Left,1323.664,0.952388598
Condition A,F,38,Left,809.597,0.869819142
Condition A,F,38,Left,411.798,0.83988424
Condition A,F,38,Left,606.226,0.783840238
Condition A,F,38,Left,1417.767,0.736719275
Condition A,F,38,Left,1053.021,0.904768042
Condition A,F,38,Left,1274.668,0.851634372
Condition A,F,38,Left,1522.758,0.858966027
Condition A,F,38,Left,2038.38,0.897591899
Condition A,F,38,Left,1361.772,0.872389484
Condition A,F,38,Left,869.092,0.881443424
Condition A,F,38,Left,1507.593,0.868365448
Condition A,F,38,Left,1213.618,0.854064416
Condition A,F,38,Left,1306.166,0.909936462
Condition A,F,38,Left,1306.943,0.718107207
Condition A,F,38,Left,1158.789,0.925429155
Condition A,F,38,Left,595.338,0.918309861
Condition A,F,38,Left,592.227,0.770766622
Condition A,F,38,Left,1347.384,0.904711055
Condition A,F,38,Left,1167.344,0.851628586
Condition A,F,38,Left,523.399,0.812629212
Condition A,F,38,Left,777.711,0.902292808
Condition A,F,38,Left,526.51,0.809091853
Condition A,F,38,Left,1354.772,0.831361809
Condition A,F,38,Left,355.025,0.914686784
Condition A,F,38,Left,467.404,0.8185027
Condition A,F,38,Left,804.542,0.911206626
Condition A,F,38,Left,558.008,0.855885289
Condition A,F,38,Left,641.612,0.809435674
Condition A,F,38,Left,528.066,0.811877961
Condition A,F,38,Left,723.66,0.905652326
Condition A,F,38,Left,634.612,0.964284058
Condition A,F,38,Left,609.725,0.919700467
Condition A,F,38,Right,1800.79,0.802480678
Condition A,F,38,Right,1191.842,0.85923106
Condition A,F,38,Right,1544.534,0.840452349
Condition A,F,38,Right,1553.866,0.940165481
Condition A,F,38,Right,1219.451,0.865797891
Condition A,F,38,Right,1369.549,0.938778127
Condition A,F,38,Right,1334.163,0.781537995
Condition A,F,38,Right,1210.507,0.884289884
Condition A,F,38,Right,1569.421,0.930433535
Condition A,F,38,Right,1454.708,0.921200895
Condition A,F,38,Right,1322.497,0.872611616
Condition A,F,38,Right,1516.536,0.895448077
Condition A,F,38,Right,1645.247,0.952134736
Condition A,F,38,Right,935.975,0.807402226
Condition A,F,38,Right,1610.25,0.90324057
Condition A,F,38,Right,1597.418,0.924517953
Condition A,F,38,Right,1110.96,0.929556805
Condition A,F,38,Right,1352.439,0.84323
Condition A,F,38,Right,1054.187,0.792449151
Condition A,F,38,Right,1863.784,0.855535613
Condition A,F,38,Right,1184.843,0.72642405
Condition A,F,38,Right,1345.829,0.747061522
Condition A,F,38,Right,1553.866,0.873199126
Condition A,F,38,Right,1007.525,0.84034848
Condition A,F,38,Right,1903.448,0.854322011
Condition A,F,38,Right,1474.151,0.928378809
Condition A,F,38,Right,1879.338,0.85059265
Condition A,F,38,Right,1563.199,0.828513551
Condition A,F,38,Right,1554.644,0.841584027
Condition A,F,38,Right,1990.551,0.874220981
Condition A,F,38,Right,1183.287,0.858178018
Condition A,F,38,Right,1674.023,0.93377746
Condition A,F,38,Right,1472.207,0.897145954
Condition A,F,38,Right,881.924,0.846110297
Condition A,F,38,Right,1487.372,0.849868878
Condition A,F,38,Right,1605.584,0.92851298
Condition A,F,38,Right,1591.974,0.8078137
Condition A,F,38,Right,993.526,0.824917897
Condition A,F,38,Right,1175.51,0.897884752
Condition A,F,38,Right,813.097,0.883189664
Condition A,F,38,Right,1143.235,0.859627288
Condition A,F,38,Right,886.202,0.899265106
Condition A,F,38,Right,1884.782,0.776925993
Condition A,F,38,Right,1571.365,0.847084813
Condition A,F,38,Right,1764.626,0.903095979
Condition A,F,38,Right,1270.002,0.78625009
Condition A,F,38,Right,1169.677,0.895718464
Condition A,F,38,Right,1271.169,0.912876392
Condition A,F,38,Right,1685.3,0.848976186
Condition A,F,38,Right,1392.88,0.765396632
Condition A,F,38,Right,2190.034,0.907800681
Condition A,F,38,Right,1146.346,0.923203618
Condition A,F,38,Right,1345.829,0.971656992
Condition A,F,38,Right,1398.324,0.845292223
Condition A,F,38,Right,1179.01,0.909641483
Condition A,F,38,Right,868.314,0.810169864
Condition A,F,38,Right,1160.734,0.870951731
Condition A,F,38,Right,2143.371,0.826794808
Condition A,F,38,Right,1469.874,0.898562885
Condition A,F,38,Right,1373.438,0.689994698
Condition A,F,38,Right,943.363,0.886093354
